cola_id,brand_name,class_type,abv,net_contents,bottler_name,bottler_address,country,image
24-030,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,abv_mismatch.png
24-032,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,abv_no_proof.png
24-010,Stone's Throw,Straight Rye Whiskey,50.0,750 mL,Stone's Throw Spirits LLC,"Portland, Oregon",Product of the United States,brand_case_difference.png
24-011,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,brand_near_miss.png
24-012,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,brand_wrong.png
24-001,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,clean_01.png
24-002,Stone's Throw,Straight Rye Whiskey,50.0,750 mL,Stone's Throw Spirits LLC,"Portland, Oregon",Product of the United States,clean_02.png
24-003,Copper Ridge Reserve,Single Malt Whisky,43.0,700 mL,Copper Ridge Distillers,"Inverness, Scotland",Product of Scotland,clean_03.png
24-040,Copper Ridge Reserve,Single Malt Whisky,43.0,750 mL,Copper Ridge Distillers,"Inverness, Scotland",Product of Scotland,net_contents_centilitres.png
24-041,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,net_contents_missing.png
24-042,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,net_contents_wrong.png
24-053,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,photo_compressed.png
24-051,Stone's Throw,Straight Rye Whiskey,50.0,750 mL,Stone's Throw Spirits LLC,"Portland, Oregon",Product of the United States,photo_glare.png
24-050,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,photo_skewed.png
24-054,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,photo_skewed_and_defective.png
24-052,Copper Ridge Reserve,Single Malt Whisky,43.0,700 mL,Copper Ridge Distillers,"Inverness, Scotland",Product of Scotland,photo_soft_focus.png
24-031,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,proof_inconsistent.png
24-024,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,warning_microtype.png
24-022,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,warning_missing.png
24-023,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,warning_prefix_not_bold.png
24-021,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,warning_reworded.png
24-020,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,warning_title_case.png
25-006,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v2_body_caps.png
25-008,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v2_body_caps_not_bold.png
25-004,Copper Ridge Reserve,Single Malt Whisky,43.0,700 mL,Copper Ridge Distillers,"Inverness, Scotland",Product of Scotland,v2_import_wrong_country.png
25-002,Harbor Light,India Pale Ale,6.5,355 mL,Harbor Light Brewing Co.,"Portland, Maine",Product of the United States,v2_malt_floz.png
25-003,Harbor Light,India Pale Ale,6.5,355 mL,Harbor Light Brewing Co.,"Portland, Maine",Product of the United States,v2_malt_floz_wrong.png
25-007,Chateau Belle Rive,Cabernet Sauvignon,13.5,750 mL,Belle Rive Cellars,"Napa, California",Product of the United States,v2_photo_skewed.png
25-005,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v2_title_case.png
25-001,Chateau Belle Rive,Cabernet Sauvignon,13.5,750 mL,Belle Rive Cellars,"Napa, California",Product of the United States,v2_wine_clean.png
26-007,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_abv_wrong.png
26-002,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_dark_label.png
26-006,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_dark_title_case.png
26-005,Casa Luna,100% Blue Agave Tequila,40.0,750 mL,Harbor Imports,"New York, New York",Mexico,v3_import_agave.png
26-003,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_large_scan.png
26-004,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_one_line_statement.png
26-001,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",Product of the United States,v3_stacked_brand.png
27-013,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",,ai_abv_defect.jpg
27-003,Harbor Light,India Pale Ale,6.5,12 fl oz,Harbor Light Brewing Co.,"Portland, Maine",,ai_beer.jpg
27-009,Tidewater,Pilsner,4.8,12 fl oz,Tidewater Brewing Co.,"Norfolk, Virginia",,ai_beer_can_photo.jpg
27-001,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",,ai_bourbon.jpg
27-007,Hollow Oak,London Dry Gin,47.0,750 mL,Hollow Oak Distilling,"Asheville, North Carolina",,ai_gin_arched.jpg
27-010,Copper Kettle,Amber Ale,5.2,1 pint 6 fl oz,Copper Kettle Brewing Co.,"Bend, Oregon",,ai_malt_pint.jpg
27-014,North Fork,Straight Rye Whiskey,50.0,750 mL,North Fork Distillers,"Louisville, Kentucky",,ai_no_warning.jpg
27-004,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",,ai_photo_bar.jpg
27-015,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",,ai_photo_compliant.jpg
27-008,Captain's Harbor,Aged Caribbean Rum,40.0,750 mL,Seaside Spirits Co.,"Miami, Florida",Product of Jamaica,ai_rum_photo_glare.jpg
27-012,Glen Arden,Single Malt Scotch Whisky,43.0,750 mL,Highland Trading Co.,"Boston, Massachusetts",Product of Scotland,ai_scotch_import.jpg
27-011,Casa Luna,100% Blue Agave Tequila,40.0,750 mL,Harbor Imports,"New York, New York",Product of Mexico,ai_tequila_import.jpg
27-005,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45.0,750 mL,Old Tom Distilling Co.,"Bardstown, Kentucky",,ai_title_case.jpg
27-006,Silver Birch,Vodka,40.0,1 L,Northgate Imports,"Chicago, Illinois",Product of Poland,ai_vodka_import.jpg
27-002,Stone's Throw,Cabernet Sauvignon,13.5,750 mL,Stone's Throw Winery,"Napa, California",,ai_wine.jpg
